nombre,descripcion,precio,stock,tipo_producto,condicion,categoria_id
Cooler Fan 120mm RGB,"¡Potenciá tu setup con Cooler Fan 120mm RGB! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de Refrigeracion.

--- CARACTERÍSTICAS TÉCNICAS ---
• Tipo: Ventilador de chasis
• Tamaño: 120mm x 120mm x 25mm
• Velocidad: 1200 RPM
• Iluminación: RGB fijo
• Conector: Molex / 3-pin

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",10.95,47,Componente,Nuevo,12
Disipador CPU ID-Cooling SE-224,"¡Potenciá tu setup con Disipador CPU ID-Cooling SE-224! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de Refrigeracion.

--- CARACTERÍSTICAS TÉCNICAS ---
• Tipo: Disipador por aire en torre
• Heatpipes: 4 tubos de cobre
• Tamaño de ventilador: 120mm PWM
• Iluminación: ARGB
• TDP Máx: 180W

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",47.21,27,Componente,Nuevo,12
Watercooling 240mm RGB,"¡Potenciá tu setup con Watercooling 240mm RGB! Una opción excelente dentro de la gama Media, garantizando durabilidad y eficiencia en su categoría de Refrigeracion.

--- CARACTERÍSTICAS TÉCNICAS ---
• Tipo: Refrigeración Líquida AIO
• Tamaño de radiador: 240mm (2x 120mm fans)
• Iluminación: ARGB en bomba y ventiladores
• Soporte: Intel LGA1700 / AMD AM5

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",102.63,23,Componente,Nuevo,12
Watercooling Corsair H150i 360mm,"¡Potenciá tu setup con Watercooling Corsair H150i 360mm! Una opción excelente dentro de la gama Media, garantizando durabilidad y eficiencia en su categoría de Refrigeracion.

--- CARACTERÍSTICAS TÉCNICAS ---
• Tipo: Refrigeración Líquida AIO
• Tamaño de radiador: 360mm
• Ventiladores: 3x ML120 RGB Magnéticos
• Pantalla LCD en la bomba: No (Logo iluminado)

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",275.74,14,Componente,Nuevo,12
Watercooling NZXT Kraken Elite 360,"¡Potenciá tu setup con Watercooling NZXT Kraken Elite 360! Una opción excelente dentro de la gama Alta, garantizando durabilidad y eficiencia en su categoría de Refrigeracion.

--- CARACTERÍSTICAS TÉCNICAS ---
• Tipo: Refrigeración Líquida AIO
• Tamaño de radiador: 360mm
• Bomba: 7ma Gen Asetek
• Pantalla LCD de 2.36"" personalizable
• Fans: F120P Static Pressure

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",330.48,8,Componente,Nuevo,12
Teclado Membrana Oficina,"¡Potenciá tu setup con Teclado Membrana Oficina! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de Teclados.

--- CARACTERÍSTICAS TÉCNICAS ---
• Tipo: Membrana
• Formato: Completo (100%)
• Idioma: Español (Ñ)
• Conectividad: Cable USB
• Diseño silencioso

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",12.32,81,Periferico,Nuevo,14
Teclado Mecanico Outemu Blue,"¡Potenciá tu setup con Teclado Mecanico Outemu Blue! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de Teclados.

--- CARACTERÍSTICAS TÉCNICAS ---
• Tipo: Mecánico
• Switches: Outemu Blue (Clicky, Táctil)
• Formato: TKL (80%)
• Iluminación: Rainbow LED
• Anti-ghosting completo

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",36.95,55,Periferico,Nuevo,14
Teclado Mecanico 60% Red Switch,"¡Potenciá tu setup con Teclado Mecanico 60% Red Switch! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de Teclados.

--- CARACTERÍSTICAS TÉCNICAS ---
• Tipo: Mecánico
• Switches: Red (Lineales, silenciosos)
• Formato: Compacto 60%
• Cable: USB-C desmontable
• Iluminación: RGB real

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",53.37,26,Periferico,Nuevo,14
Teclado Mecanico Logitech G Pro,"¡Potenciá tu setup con Teclado Mecanico Logitech G Pro! Una opción excelente dentro de la gama Media, garantizando durabilidad y eficiencia en su categoría de Teclados.

--- CARACTERÍSTICAS TÉCNICAS ---
• Tipo: Mecánico
• Switches: GX Blue Clicky
• Formato: TKL (Tenkeyless)
• Iluminación: LIGHTSYNC RGB
• Diseñado para eSports

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",114.95,26,Periferico,Nuevo,14
Teclado Mecanico Corsair K70,"¡Potenciá tu setup con Teclado Mecanico Corsair K70! Una opción excelente dentro de la gama Media, garantizando durabilidad y eficiencia en su categoría de Teclados.

--- CARACTERÍSTICAS TÉCNICAS ---
• Tipo: Mecánico
• Switches: Cherry MX Speed Silver
• Marco: Aluminio cepillado
• Reposamuñecas extraíble
• Tasa de sondeo: 8000Hz

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",205.27,10,Periferico,Nuevo,14
Teclado Custom Keychron K6,"¡Potenciá tu setup con Teclado Custom Keychron K6! Una opción excelente dentro de la gama Media, garantizando durabilidad y eficiencia en su categoría de Teclados.

--- CARACTERÍSTICAS TÉCNICAS ---
• Tipo: Mecánico Custom
• Conectividad: Bluetooth 5.1 / Cable
• Formato: 65%
• Hot-Swappable (Cambio de switches)
• Compatible Mac/Windows

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",262.74,11,Periferico,Nuevo,14
Mouse Oficina 1000 DPI,"¡Potenciá tu setup con Mouse Oficina 1000 DPI! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de Mouse.

--- CARACTERÍSTICAS TÉCNICAS ---
• Tipo: Óptico
• Sensor: Genérico
• DPI: 1000 Fijo
• Botones: 3
• Conectividad: Cable USB
• Diseño Ambidiestro

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",6.84,44,Periferico,Nuevo,15
Mouse Gamer Redragon Griffin,"¡Potenciá tu setup con Mouse Gamer Redragon Griffin! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de Mouse.

--- CARACTERÍSTICAS TÉCNICAS ---
• Tipo: Óptico Gamer
• Sensor: Pixart P3212
• DPI Máx: 7200
• Botones: 7 programables
• Iluminación: RGB Chroma

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",23.26,56,Periferico,Nuevo,15
Mouse Gamer HyperX Pulsefire,"¡Potenciá tu setup con Mouse Gamer HyperX Pulsefire! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de Mouse.

--- CARACTERÍSTICAS TÉCNICAS ---
• Tipo: Óptico Gamer
• Sensor: Pixart 3327
• DPI Máx: 6200
• Peso: 87g
• Switches: TTC (20M clics)
• Iluminación: RGB

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",36.95,66,Periferico,Nuevo,15
Mouse Gamer Logitech G305 Wireless,"¡Potenciá tu setup con Mouse Gamer Logitech G305 Wireless! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de Mouse.

--- CARACTERÍSTICAS TÉCNICAS ---
• Tipo: Inalámbrico
• Sensor: HERO
• DPI Máx: 12000
• Conectividad: LIGHTSPEED 1ms (Dongle)
• Batería: 1x Pila AA (250 horas)

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",61.58,20,Periferico,Nuevo,15
Mouse Gamer Razer DeathAdder V3,"¡Potenciá tu setup con Mouse Gamer Razer DeathAdder V3! Una opción excelente dentro de la gama Media, garantizando durabilidad y eficiencia en su categoría de Mouse.

--- CARACTERÍSTICAS TÉCNICAS ---
• Tipo: Óptico Gamer
• Sensor: Razer Focus Pro 30K Optical
• DPI Máx: 30000
• Peso Ultra-ligero: 59g
• Tasa de sondeo: 8000Hz

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",172.43,14,Periferico,Nuevo,15
Mouse Gamer Finalmouse Starlight,"¡Potenciá tu setup con Mouse Gamer Finalmouse Starlight! Una opción excelente dentro de la gama Media, garantizando durabilidad y eficiencia en su categoría de Mouse.

--- CARACTERÍSTICAS TÉCNICAS ---
• Tipo: Inalámbrico eSports
• Material: Aleación de Magnesio
• Peso Ultra-ligero: 42g
• Sensor: Finalsensor
• Edición Limitada

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",287.38,13,Periferico,Nuevo,15
Auricular In-Ear Basico,"¡Potenciá tu setup con Auricular In-Ear Basico! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de Auriculares.

--- CARACTERÍSTICAS TÉCNICAS ---
• Tipo: In-Ear
• Conexión: Jack 3.5mm
• Micrófono: Integrado en cable
• Sonido: Estéreo
• Gomas intercambiables

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",8.21,69,Periferico,Nuevo,16
Auricular Gamer Basico RGB,"¡Potenciá tu setup con Auricular Gamer Basico RGB! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de Auriculares.

--- CARACTERÍSTICAS TÉCNICAS ---
• Tipo: Over-Ear
• Conexión: 2x 3.5mm + USB (Para luces)
• Micrófono: Omnidireccional fijo
• Iluminación: Luces LED RGB

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",20.53,63,Periferico,Nuevo,16
Auricular Gamer HyperX Cloud Stinger,"¡Potenciá tu setup con Auricular Gamer HyperX Cloud Stinger! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de Auriculares.

--- CARACTERÍSTICAS TÉCNICAS ---
• Tipo: Over-Ear
• Sonido: Estéreo optimizado
• Drivers: Direccionales de 50mm
• Micrófono: Con cancelación de ruido, silenciar al girar
• Copas que giran 90°

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",61.58,25,Periferico,Nuevo,16
Auricular Gamer HyperX Cloud II Wireless,"¡Potenciá tu setup con Auricular Gamer HyperX Cloud II Wireless! Una opción excelente dentro de la gama Media, garantizando durabilidad y eficiencia en su categoría de Auriculares.

--- CARACTERÍSTICAS TÉCNICAS ---
• Tipo: Over-Ear Inalámbrico
• Sonido: Surround 7.1 Virtual
• Batería: Hasta 30 horas
• Drivers: 53mm
• Marco de aluminio durable

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",123.16,7,Periferico,Nuevo,16
Auricular Gamer Astro A50 Wireless,"¡Potenciá tu setup con Auricular Gamer Astro A50 Wireless! Una opción excelente dentro de la gama Media, garantizando durabilidad y eficiencia en su categoría de Auriculares.

--- CARACTERÍSTICAS TÉCNICAS ---
• Tipo: Over-Ear Inalámbrico Premium
• Estación Base: Carga y transmisor
• Sonido: Dolby Audio
• MixAmp incorporado
• Rango inalambrico 15m

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",262.74,10,Periferico,Nuevo,16
Auricular Sennheiser HD 800S,"¡Potenciá tu setup con Auricular Sennheiser HD 800S! Una opción excelente dentro de la gama Alta, garantizando durabilidad y eficiencia en su categoría de Auriculares.

--- CARACTERÍSTICAS TÉCNICAS ---
• Tipo: Over-Ear Audiófilo Abierto
• Respuesta de frecuencia: 4Hz - 51,000Hz
• Impedancia: 300 Ohms
• Tecnología de absorción de resonancia

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",697.91,3,Periferico,Nuevo,16
Webcam 720p Basica,"¡Potenciá tu setup con Webcam 720p Basica! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de Webcams.

--- CARACTERÍSTICAS TÉCNICAS ---
• Resolución: 720p a 30fps
• Enfoque: Fijo
• Micrófono: Integrado mono
• Conexión: USB 2.0
• Clip universal

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",16.42,75,Periferico,Nuevo,17
Webcam Redragon Hitman 1080p,"¡Potenciá tu setup con Webcam Redragon Hitman 1080p! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de Webcams.

--- CARACTERÍSTICAS TÉCNICAS ---
• Resolución: 1080p Full HD a 30fps
• Enfoque: Automático (Autofocus)
• Micrófonos: Duales estéreo integrados
• Clip para monitor/trípode

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",45.16,27,Periferico,Nuevo,17
Webcam Logitech C922 Pro,"¡Potenciá tu setup con Webcam Logitech C922 Pro! Una opción excelente dentro de la gama Media, garantizando durabilidad y eficiencia en su categoría de Webcams.

--- CARACTERÍSTICAS TÉCNICAS ---
• Resolución: 1080p a 30fps / 720p a 60fps
• Enfoque: Automático de cristal
• Micrófonos: Estéreo
• Incluye trípode y licencia XSplit

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",98.53,23,Periferico,Nuevo,17
Webcam Elgato Facecam,"¡Potenciá tu setup con Webcam Elgato Facecam! Una opción excelente dentro de la gama Media, garantizando durabilidad y eficiencia en su categoría de Webcams.

--- CARACTERÍSTICAS TÉCNICAS ---
• Resolución: 1080p a 60fps sin comprimir
• Lente: Elgato Prime Lens (Cristal 8 elementos)
• Sensor: Sony STARVIS
• Memoria Flash integrada

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",180.64,8,Periferico,Nuevo,17
Webcam Razer Kiyo Pro 4K,"¡Potenciá tu setup con Webcam Razer Kiyo Pro 4K! Una opción excelente dentro de la gama Media, garantizando durabilidad y eficiencia en su categoría de Webcams.

--- CARACTERÍSTICAS TÉCNICAS ---
• Resolución: 4K a 30fps / 1080p a 60fps
• Sensor: CMOS STARVIS Tipo 1/2.8 ultra grande
• HDR activado
• Lente Corning Gorilla Glass

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",262.74,10,Periferico,Nuevo,17
Camara PTZ Insta360 Face,"¡Potenciá tu setup con Camara PTZ Insta360 Face! Una opción excelente dentro de la gama Alta, garantizando durabilidad y eficiencia en su categoría de Webcams.

--- CARACTERÍSTICAS TÉCNICAS ---
• Resolución: 4K a 30fps
• Tipo: PTZ accionada por IA (Giro/Inclinación)
• Seguimiento automático de rostros
• Controles por gestos de la mano

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",369.48,7,Periferico,Nuevo,17
Mousepad Basico Chico,"¡Potenciá tu setup con Mousepad Basico Chico! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de Mousepads.

--- CARACTERÍSTICAS TÉCNICAS ---
• Tamaño: Pequeño (22x18cm)
• Grosor: 2mm
• Material: Tela sintética suave
• Base: Goma antideslizante
• Bordes: Sin costura

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",4.11,75,Periferico,Nuevo,18
Mousepad Gamer XL 80x30cm,"¡Potenciá tu setup con Mousepad Gamer XL 80x30cm! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de Mousepads.

--- CARACTERÍSTICAS TÉCNICAS ---
• Tamaño: Extended XL (800x300mm)
• Grosor: 3mm
• Bordes: Cosidos reforzados
• Superficie: Control/Speed (Microfibra)

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",17.79,62,Periferico,Nuevo,18
Mousepad HyperX Fury S XL,"¡Potenciá tu setup con Mousepad HyperX Fury S XL! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de Mousepads.

--- CARACTERÍSTICAS TÉCNICAS ---
• Tamaño: Extra Grande (900x420mm)
• Grosor: 4mm
• Material: Tela de alta densidad
• Bordes: Costura sin costuras anti-deshilache

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",36.95,98,Periferico,Nuevo,18
Mousepad RGB XL Redragon,"¡Potenciá tu setup con Mousepad RGB XL Redragon! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de Mousepads.

--- CARACTERÍSTICAS TÉCNICAS ---
• Tamaño: Extended (800x300mm)
• Iluminación: Bordes LED RGB (Múltiples efectos)
• Control por botón
• Superficie optimizada para sensores ópticos

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",32.84,85,Periferico,Nuevo,18
Mousepad Corsair MM700 RGB,"¡Potenciá tu setup con Mousepad Corsair MM700 RGB! Una opción excelente dentro de la gama Media, garantizando durabilidad y eficiencia en su categoría de Mousepads.

--- CARACTERÍSTICAS TÉCNICAS ---
• Tamaño: Extended 3XL (1220x610mm) cubre todo el escritorio
• Grosor: 4mm
• Iluminación: RGB dinámico de 3 zonas
• HUB USB de 2 puertos integrado

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",90.32,29,Periferico,Nuevo,18
Mousepad Artisan FX Zero,"¡Potenciá tu setup con Mousepad Artisan FX Zero! Una opción excelente dentro de la gama Media, garantizando durabilidad y eficiencia en su categoría de Mousepads.

--- CARACTERÍSTICAS TÉCNICAS ---
• Tamaño: XL (490x420mm)
• Calidad Premium (Hecho en Japón)
• Superficie: Tejido texturizado para control absoluto
• Dureza de esponja a elección (Soft/XSoft)

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",123.16,9,Periferico,Nuevo,18
Parlantes USB 2.0,"¡Potenciá tu setup con Parlantes USB 2.0! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de Parlantes.

--- CARACTERÍSTICAS TÉCNICAS ---
• Sistema: 2.0
• Potencia RMS: 6W (3W x 2)
• Conexión Audio: Jack 3.5mm
• Energía: Cable USB (No requiere enchufe a pared)

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",11.63,68,Periferico,Nuevo,19
Parlantes Redragon 2.0 RGB,"¡Potenciá tu setup con Parlantes Redragon 2.0 RGB! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de Parlantes.

--- CARACTERÍSTICAS TÉCNICAS ---
• Sistema: 2.0
• Potencia RMS: 10W
• Iluminación: RGB táctil
• Control de volumen frontal
• Diseño compacto para escritorio

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",27.37,52,Periferico,Nuevo,19
Soundbar Gamer Redragon,"¡Potenciá tu setup con Soundbar Gamer Redragon! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de Parlantes.

--- CARACTERÍSTICAS TÉCNICAS ---
• Formato: Barra de sonido (Soundbar)
• Potencia RMS: 10W
• Iluminación: RGB dinámica
• Conexión: Bluetooth 5.0 y Auxiliar 3.5mm

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",43.11,22,Periferico,Nuevo,19
Parlantes Logitech Z607 2.1,"¡Potenciá tu setup con Parlantes Logitech Z607 2.1! Una opción excelente dentro de la gama Media, garantizando durabilidad y eficiencia en su categoría de Parlantes.

--- CARACTERÍSTICAS TÉCNICAS ---
• Sistema: 5.1 Surround (Subwoofer + 5 satélites)
• Potencia RMS: 80W (Pico 160W)
• Conectividad: Bluetooth, RCA, Radio FM, Lector SD/USB

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",110.16,23,Periferico,Nuevo,19
Parlantes Logitech Z906 5.1,"¡Potenciá tu setup con Parlantes Logitech Z906 5.1! Una opción excelente dentro de la gama Media, garantizando durabilidad y eficiencia en su categoría de Parlantes.

--- CARACTERÍSTICAS TÉCNICAS ---
• Sistema: 5.1 Surround certificado THX
• Potencia RMS: 500W (Pico 1000W)
• Decodificación: Dolby Digital y DTS
• Consola de control dedicada

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",275.74,13,Periferico,Nuevo,19
Monitores de Estudio KRK,"¡Potenciá tu setup con Monitores de Estudio KRK! Una opción excelente dentro de la gama Alta, garantizando durabilidad y eficiencia en su categoría de Parlantes.

--- CARACTERÍSTICAS TÉCNICAS ---
• Sistema: Monitores de estudio activos 2.0
• Tamaño Woofer: 5 Pulgadas de Kevlar arámida
• Tweeter: 1"" cúpula suave
• Respuesta plana para producción musical y audiófilos

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",433.12,7,Periferico,Nuevo,19
Microfono Corbatero,"¡Potenciá tu setup con Microfono Corbatero! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de Microfonos.

--- CARACTERÍSTICAS TÉCNICAS ---
• Tipo: Condensador Lavalier (Corbatero)
• Patrón polar: Omnidireccional
• Conexión: Jack 3.5mm (Incluye adaptador TRRS para PC/Celular)
• Largo del cable: 1.5m

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",12.32,86,Periferico,Nuevo,20
Microfono Condensador USB Basico,"¡Potenciá tu setup con Microfono Condensador USB Basico! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de Microfonos.

--- CARACTERÍSTICAS TÉCNICAS ---
• Tipo: Condensador de escritorio
• Patrón polar: Cardioide (Frontal)
• Conexión: USB Plug & Play
• Incluye trípode pequeño y filtro antipop de espuma

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",36.95,81,Periferico,Nuevo,20
Microfono HyperX SoloCast,"¡Potenciá tu setup con Microfono HyperX SoloCast! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de Microfonos.

--- CARACTERÍSTICAS TÉCNICAS ---
• Tipo: Condensador USB
• Patrón polar: Cardioide
• Sensor Tap-to-Mute con indicador LED
• Soporte flexible y ajustable
• Tasa de muestreo: 48kHz/16-bit

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",69.79,22,Periferico,Nuevo,20
Microfono Razer Seiren Mini,"¡Potenciá tu setup con Microfono Razer Seiren Mini! Una opción excelente dentro de la gama Media, garantizando durabilidad y eficiencia en su categoría de Microfonos.

--- CARACTERÍSTICAS TÉCNICAS ---
• Tipo: Condensador USB ultra compacto
• Patrón polar: Supercardioide (Alta reducción de ruido ambiente)
• Soporte inclinable con amortiguador integrado

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",90.32,19,Periferico,Nuevo,20
Microfono Shure SM7B,"¡Potenciá tu setup con Microfono Shure SM7B! Una opción excelente dentro de la gama Alta, garantizando durabilidad y eficiencia en su categoría de Microfonos.

--- CARACTERÍSTICAS TÉCNICAS ---
• Tipo: Dinámico para broadcast y podcasts
• Patrón polar: Cardioide
• Conexión: XLR (Requiere interfaz de audio)
• Escudo electromagnético y aislamiento de aire

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",369.48,7,Periferico,Nuevo,20
Microfono Electro-Voice RE20,"¡Potenciá tu setup con Microfono Electro-Voice RE20! Una opción excelente dentro de la gama Alta, garantizando durabilidad y eficiencia en su categoría de Microfonos.

--- CARACTERÍSTICAS TÉCNICAS ---
• Tipo: Dinámico Premium
• Patrón polar: Cardioide
• Tecnología Variable-D (Minimiza el efecto de proximidad)
• Filtro de viento interno
• Estándar de radio y streaming

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",533.7,6,Periferico,Nuevo,20
Joystick PC USB Generico,"¡Potenciá tu setup con Joystick PC USB Generico! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de Joysticks.

--- CARACTERÍSTICAS TÉCNICAS ---
• Distribución de botones: Estilo PlayStation
• Conexión: Cable USB
• Motores de vibración: Dobles
• Compatibilidad: Windows PC (DirectInput)

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",12.32,46,Periferico,Nuevo,21
Joystick Inalambrico PC,"¡Potenciá tu setup con Joystick Inalambrico PC! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de Joysticks.

--- CARACTERÍSTICAS TÉCNICAS ---
• Distribución de botones: Estilo Xbox
• Conectividad: Wireless 2.4GHz (Dongle USB)
• Batería: Recargable por USB-C
• Diseño ergonómico texturizado

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",36.95,41,Periferico,Nuevo,21
Joystick PS4 Alternativo,"¡Potenciá tu setup con Joystick PS4 Alternativo! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de Joysticks.

--- CARACTERÍSTICAS TÉCNICAS ---
• Distribución: PlayStation 4
• Conexión: Bluetooth y cable Micro-USB
• Touchpad capacitivo
• Parlante integrado y Jack 3.5mm para auriculares

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",45.16,18,Periferico,Nuevo,21
Joystick PS5 DualSense Original,"¡Potenciá tu setup con Joystick PS5 DualSense Original! Una opción excelente dentro de la gama Media, garantizando durabilidad y eficiencia en su categoría de Joysticks.

--- CARACTERÍSTICAS TÉCNICAS ---
• Distribución: PlayStation 5
• Feedback háptico inmersivo
• Gatillos adaptativos con resistencia dinámica
• Micrófono integrado
• Conectividad Bluetooth 5.1 / USB-C

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",114.95,19,Periferico,Nuevo,21
Joystick Xbox Elite Series 2,"¡Potenciá tu setup con Joystick Xbox Elite Series 2! Una opción excelente dentro de la gama Media, garantizando durabilidad y eficiencia en su categoría de Joysticks.

--- CARACTERÍSTICAS TÉCNICAS ---
• Nivel Profesional
• Palancas traseras intercambiables (Paddles)
• Ajuste de tensión en sticks analógicos
• Topes de gatillo personalizables
• Batería de 40 horas

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",229.9,9,Periferico,Nuevo,21
Joystick Razer Wolverine V2,"¡Potenciá tu setup con Joystick Razer Wolverine V2! Una opción excelente dentro de la gama Media, garantizando durabilidad y eficiencia en su categoría de Joysticks.

--- CARACTERÍSTICAS TÉCNICAS ---
• Nivel eSports (Licencia Oficial Xbox)
• Conexión: Cableada (Latencia cero)
• Switches Mecánicos Razer (Acción táctil rápida)
• 6 Botones multifunción reasignables

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",262.74,13,Periferico,Nuevo,21
Monitor 19 HD 60Hz,"¡Potenciá tu setup con Monitor 19 HD 60Hz! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de Monitores.

--- CARACTERÍSTICAS TÉCNICAS ---
• Tamaño: 19 Pulgadas
• Resolución: HD (1366x768)
• Panel: TN
• Tasa de refresco: 60Hz
• Tiempo de respuesta: 5ms
• Puertos: VGA, HDMI

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",64.32,17,Periferico,Nuevo,22
Monitor 24 Full HD 75Hz IPS,"¡Potenciá tu setup con Monitor 24 Full HD 75Hz IPS! Una opción excelente dentro de la gama Media, garantizando durabilidad y eficiencia en su categoría de Monitores.

--- CARACTERÍSTICAS TÉCNICAS ---
• Tamaño: 24 Pulgadas
• Resolución: Full HD (1920x1080)
• Panel: IPS (Excelentes colores y ángulos de visión)
• Refresco: 75Hz
• AMD FreeSync

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",120.42,13,Periferico,Nuevo,22
